url	local_groups	topic_groups	local_count	topic_count
vk.com/id211818381	Ленинский комсомол лксм	Апокрифы диалектики, Анархо-Коммунистическая партия россии, Агитплакат отвага, Альтернативы, Антитезис, Молодая гвардия большевиков-Ленинцев	1	6
vk.com/id334044636	Ленинский комсомол лксм	Молодая гвардия большевиков-Ленинцев	1	1
vk.com/id710723009	Ленинский комсомол лксм	Анархо-Коммунистическая партия россии, Агитплакат отвага, Альтернативы, Молодая гвардия большевиков-Ленинцев	1	4
vk.com/id616980271	Ленинский комсомол лксм	Анархо-Коммунистическая партия россии, Агитплакат отвага, Альтернативы, Молодая гвардия большевиков-Ленинцев	1	4
vk.com/id327901066	Свободный белгород	Альтернативы	1	1
vk.com/id1389949	Ленинский комсомол лксм	Альтернативы	1	1
vk.com/id199700753	Открытый белгородский политический клуб	Анархо-Коммунистическая партия россии, Александр зиновьев	1	2
vk.com/id162962392	Ленинский комсомол лксм	Антитезис, Молодая гвардия большевиков-Ленинцев	1	2
vk.com/id110867729	Ленинский комсомол лксм	Акм новосибирск	1	1
vk.com/id256844969	Ленинский комсомол лксм	Молодая гвардия большевиков-Ленинцев	1	1
vk.com/id374869541	Белгородский комсомол	Молодая гвардия большевиков-Ленинцев	1	1
vk.com/id586732367	За новый социализм	Агитплакат отвага, Альтернативы, Молодая гвардия большевиков-Ленинцев	1	3
vk.com/id209960884	Ленинский комсомол лксм	Анархо-Коммунистическая партия россии	1	1
vk.com/id575462887	Ленинский комсомол лксм	Агитплакат отвага, Молодая гвардия большевиков-Ленинцев	1	2
vk.com/id12949455	Ленинский комсомол лксм	Акм новосибирск, Антитезис	1	2
vk.com/id71843750	Ленинский комсомол лксм	Молодая гвардия большевиков-Ленинцев	1	1
vk.com/id202597937	Ленинский комсомол лксм	Александр зиновьев	1	1
vk.com/id162068147	Ленинский комсомол лксм	Молодая гвардия большевиков-Ленинцев	1	1
vk.com/id146212305	Ленинский комсомол лксм	Альтернативы	1	1
vk.com/id308170720	Ленинский комсомол лксм	Антитезис, Молодая гвардия большевиков-Ленинцев	1	2
vk.com/id502803695	Ленинский комсомол лксм	Молодая гвардия большевиков-Ленинцев	1	1
vk.com/id708093191	За новый социализм	Агитплакат отвага	1	1
vk.com/id5594340	Открытый белгородский политический клуб	Александр зиновьев	1	1
vk.com/id2671885	Ленинский комсомол лксм	Антонио грамши, Антитезис	1	2
vk.com/id318552162	Ленинский комсомол лксм	Альтернативы	1	1
vk.com/id295997972	За новый социализм	Александр зиновьев	1	1
vk.com/id574079811	Ленинский комсомол лксм	Агитплакат отвага	1	1
vk.com/id241711005	Ленинский комсомол лксм	Молодая гвардия большевиков-Ленинцев	1	1
vk.com/id396725043	Ленинский комсомол лксм	Агитплакат отвага, Молодая гвардия большевиков-Ленинцев	1	2
vk.com/id155784846	Ленинский комсомол лксм	Агитплакат отвага, Альтернативы	1	2
vk.com/id307766541	Ленинский комсомол лксм	Альтернативы	1	1
vk.com/id2312847	Ленинский комсомол лксм	Агитплакат отвага, Альтернативы	1	2
vk.com/id651325093	За новый социализм	Агитплакат отвага, Альтернативы, Молодая гвардия большевиков-Ленинцев	1	3
vk.com/id127142223	Открытый белгородский политический клуб	Александр зиновьев	1	1
vk.com/id468589382	Ленинский комсомол лксм	Агитплакат отвага	1	1
vk.com/id489541249	За новый социализм	Агитплакат отвага	1	1
vk.com/id671389829	Ленинский комсомол лксм	Апокрифы диалектики, Агитплакат отвага, Альтернативы, Молодая гвардия большевиков-Ленинцев	1	4
vk.com/id523412811	За новый социализм	Агитплакат отвага	1	1
vk.com/id505287415	Ленинский комсомол лксм	Агитплакат отвага	1	1
vk.com/id1356767	Ленинский комсомол лксм	Агитплакат отвага	1	1
vk.com/id137199297	Ленинский комсомол лксм	Агитплакат отвага	1	1
vk.com/id331203754	Ленинский комсомол лксм	Молодая гвардия большевиков-Ленинцев	1	1
vk.com/id135853583	Ленинский комсомол лксм	Альтернативы	1	1
vk.com/id4164606	Ленинский комсомол лксм	Акм новосибирск	1	1
vk.com/id534973018	За новый социализм	Апокрифы диалектики, Альтернативы, Антитезис, Молодая гвардия большевиков-Ленинцев	1	4
vk.com/id392949532	Ленинский комсомол лксм, За новый социализм	Анархо-Коммунистическая партия россии, Агитплакат отвага, Альтернативы, Молодая гвардия большевиков-Ленинцев	2	4
vk.com/id588883884	Ленинский комсомол лксм	Анархо-Коммунистическая партия россии, Агитплакат отвага	1	2
vk.com/id535898339	Ленинский комсомол лксм	Агитплакат отвага	1	1
vk.com/id270125699	Ленинский комсомол лксм	Агитплакат отвага	1	1
vk.com/id336523118	Ленинский комсомол лксм	Агитплакат отвага, Молодая гвардия большевиков-Ленинцев	1	2
vk.com/id467280491	Ленинский комсомол лксм	Агитплакат отвага	1	1
vk.com/id203216	Ленинский комсомол лксм	Акм новосибирск, Альтернативы, Антитезис	1	3
vk.com/id3508335	Ленинский комсомол лксм	Анархо-Коммунистическая партия россии, Молодая гвардия большевиков-Ленинцев	1	2
vk.com/id239757091	Ленинский комсомол лксм	Молодая гвардия большевиков-Ленинцев	1	1
vk.com/id320412581	Ленинский комсомол лксм	Молодая гвардия большевиков-Ленинцев	1	1
vk.com/id576428017	Белгородский комсомол	Агитплакат отвага, Молодая гвардия большевиков-Ленинцев	1	2
vk.com/id160231443	Ленинский комсомол лксм	Молодая гвардия большевиков-Ленинцев	1	1
vk.com/id262460514	Белгородский комсомол	Молодая гвардия большевиков-Ленинцев	1	1
vk.com/id143671570	Открытый белгородский политический клуб	Александр зиновьев	1	1
